ticker,company_name,cik,exchange,form_type,filing_date,accession_number,primary_document,market_cap,market_cap_source
SYK,STRYKER CORP,0000310764,NYSE,25-NSE,2024-12-03,0000876661-24-001125,xslF25X02/primary_doc.xml,147802585202.89453,yahoo_historical
SCE-PN,SOUTHERN CALIFORNIA EDISON Co,0000092103,NYSE,25-NSE,2024-11-29,0001143362-24-000368,xslF25X02/primary_doc.xml,,none
SITC,SITE Centers Corp.,0000894315,NYSE,25-NSE,2024-11-26,0000876661-24-001110,xslF25X02/primary_doc.xml,410885885.8163452,yahoo_historical
PLTR,Palantir Technologies Inc.,0001321655,NASDAQ,25,2024-11-25,0001321655-24-000231,a20241125form25.htm,147682197361.41708,yahoo_historical
TPR,"TAPESTRY, INC.",0001116132,NYSE,25-NSE,2024-11-25,0000876661-24-001108,xslF25X02/primary_doc.xml,12187643586.59372,yahoo_historical
EC,ECOPETROL S.A.,0001444406,NYSE,25-NSE,2024-11-21,0000876661-24-001093,xslF25X02/primary_doc.xml,15192340012.422903,yahoo_historical
HYLN,Hyliion Holdings Corp.,0001759631,AMEX,25,2024-11-15,0001213900-24-099119,ea0220673-25_hyliion.htm,446974532.40711594,yahoo_historical
CBAN,COLONY BANKCORP INC,0000711669,NYSE,25,2024-11-15,0000711669-24-000131,form25-notificationofremov.htm,351065372.4223709,yahoo_historical
SBSI,SOUTHSIDE BANCSHARES INC,0000705432,NYSE,25,2024-11-14,0000705432-24-000248,form25.htm,1011092652.9522171,yahoo_historical
PM,Philip Morris International Inc.,0001413329,NYSE,25-NSE,2024-11-12,0000876661-24-001057,xslF25X02/primary_doc.xml,184715628903.49646,yahoo_historical
CARR,CARRIER GLOBAL Corp,0001783180,NYSE,25-NSE,2024-11-08,0000876661-24-001054,xslF25X02/primary_doc.xml,63449736490.27114,yahoo_historical
HTO,H2O AMERICA,0000766829,NASDAQ,25,2024-11-07,0000766829-24-000122,form25.htm,1934210046.1507835,yahoo_historical
JNJ,JOHNSON & JOHNSON,0000200406,NYSE,25-NSE,2024-11-06,0000876661-24-001042,xslF25X02/primary_doc.xml,366143814729.4401,yahoo_historical
SOC,Sable Offshore Corp.,0001831481,NYSE,25-NSE,2024-11-04,0000876661-24-001035,xslF25X02/primary_doc.xml,3313826745.0376587,yahoo_historical
MRK,"Merck & Co., Inc.",0000310158,NYSE,25-NSE,2024-11-04,0000876661-24-001036,xslF25X02/primary_doc.xml,241747446014.6745,yahoo_historical
RSF,"RiverNorth Capital & Income Fund, Inc.",0001644771,NYSE,25-NSE,2024-10-31,0000876661-24-001028,xslF25X02/primary_doc.xml,56234961.12625694,yahoo_historical
PG,PROCTER & GAMBLE Co,0000080424,NYSE,25-NSE,2024-10-30,0000876661-24-001021,xslF25X02/primary_doc.xml,375610663910.6175,yahoo_historical
FTAIN,FTAI Aviation Ltd.,0001590364,NASDAQ,25-NSE,2024-10-29,0001354457-24-000836,xslF25X02/primary_doc.xml,,none
LUV,SOUTHWEST AIRLINES CO,0000092380,NYSE,25-NSE,2024-10-28,0000876661-24-001018,xslF25X02/primary_doc.xml,15254589349.077606,yahoo_historical
PHGE,BiomX Inc.,0001739174,AMEX,25-NSE,2024-10-25,0000876661-24-001016,xslF25X02/primary_doc.xml,25525419.751739502,yahoo_historical
GECCI,Great Elm Capital Corp.,0001675033,NASDAQ,25-NSE,2024-10-18,0001354457-24-000805,xslF25X02/primary_doc.xml,,none
AL,AIR LEASE CORP,0001487712,NYSE,25-NSE,2024-10-17,0000876661-24-001008,xslF25X02/primary_doc.xml,4930693214.824158,yahoo_historical
WEST,Westrock Coffee Co,0001806347,NASDAQ,25-NSE,2024-10-15,0001354457-24-000799,xslF25X02/primary_doc.xml,636139675.3210974,yahoo_historical
RBC,RBC Bearings INC,0001324948,NYSE,25-NSE,2024-10-15,0000876661-24-001003,xslF25X02/primary_doc.xml,8999777923.28186,yahoo_historical
AER,AerCap Holdings N.V.,0001378789,NYSE,25-NSE,2024-10-10,0000876661-24-000928,xslF25X02/primary_doc.xml,15884925988.040695,yahoo_historical
O,REALTY INCOME CORP,0000726728,NYSE,25-NSE,2024-09-30,0000876661-24-000885,xslF25X02/primary_doc.xml,54048367065.16565,yahoo_historical
TEL,TE Connectivity plc,0001385157,NYSE,25-NSE,2024-09-30,0000876661-24-000890,xslF25X02/primary_doc.xml,43598753713.3233,yahoo_historical
CSR,CENTERSPACE,0000798359,NYSE,25-NSE,2024-09-30,0001143362-24-000309,xslF25X02/primary_doc.xml,1107814390.3016357,yahoo_historical
ASTS,"AST SpaceMobile, Inc.",0001780312,NASDAQ,25-NSE,2024-09-27,0001354457-24-000729,xslF25X02/primary_doc.xml,7039237169.157791,yahoo_historical
PAYO,Payoneer Global Inc.,0001845815,NASDAQ,25-NSE,2024-09-24,0001354457-24-000719,xslF25X02/primary_doc.xml,2730332674.251526,yahoo_historical
BKNG,Booking Holdings Inc.,0001075531,NASDAQ,25-NSE,2024-09-20,0001354457-24-000713,xslF25X02/primary_doc.xml,129817204249.76807,yahoo_historical
CLBT,Cellebrite DI Ltd.,0001854587,NASDAQ,25-NSE,2024-09-16,0001354457-24-000682,xslF25X02/primary_doc.xml,4283098849.0290756,yahoo_historical
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,NYSE,25-NSE,2024-09-16,0001143362-24-000291,xslF25X02/primary_doc.xml,38352305328.17308,yahoo_historical
RF-PF,REGIONS FINANCIAL CORP,0001281761,NYSE,25-NSE,2024-09-16,0000876661-24-000853,xslF25X02/primary_doc.xml,,none
TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,NYSE,25-NSE,2024-09-12,0000876661-24-000847,xslF25X02/primary_doc.xml,229614998412.0138,yahoo_historical
KMB,KIMBERLY CLARK CORP,0000055785,NASDAQ,25-NSE,2024-09-09,0000876661-24-000839,xslF25X02/primary_doc.xml,46512372131.04083,yahoo_historical
PETVW,"PetVivo Holdings, Inc.",0001512922,NASDAQ,25-NSE,2024-09-06,0001354457-24-000642,xslF25X02/primary_doc.xml,,none
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0000051143,NYSE,25-NSE,2024-09-06,0000876661-24-000820,xslF25X02/primary_doc.xml,181482443060.3455,yahoo_historical
HGASW,Global Gas Corp,0001817232,NASDAQ,25-NSE,2024-09-06,0001354457-24-000648,xslF25X02/primary_doc.xml,,none
CURR,Currenc Group Inc.,0001862935,NASDAQ,25,2024-08-30,0001493152-24-034503,form25.htm,122578304.0,yahoo_current
BNT,Brookfield Wealth Solutions Ltd.,0001837429,NYSE,25-NSE,2024-08-30,0000876661-24-000808,xslF25X02/primary_doc.xml,2001269223.6180496,yahoo_historical
CPB,CAMPBELL'S Co,0000016732,NASDAQ,25,2024-08-16,0001193125-24-202140,d869921d25.htm,13695478191.341705,yahoo_historical
BSLKW,"Bolt Projects Holdings, Inc.",0001841125,NASDAQ,25-NSE,2024-08-13,0001354457-24-000564,xslF25X02/primary_doc.xml,,none
KBH,KB HOME,0000795266,NYSE,25-NSE,2024-08-08,0000876661-24-000629,xslF25X02/primary_doc.xml,4938226641.845703,yahoo_historical
CVLG,"COVENANT LOGISTICS GROUP, INC.",0000928658,NYSE,25,2024-08-05,0001008886-24-000279,form25.htm,507055829.89271545,yahoo_historical
UCB,UNITED COMMUNITY BANKS INC,0000857855,NYSE,25,2024-08-05,0001104659-24-085837,tm2420856d1_25.htm,3199086101.2986717,yahoo_historical
NEWTH,"NewtekOne, Inc.",0001587987,NASDAQ,25-NSE,2024-07-31,0001354457-24-000540,xslF25X02/primary_doc.xml,,none
VALE,Vale S.A.,0000917851,NYSE,25-NSE,2024-07-25,0000876661-24-000604,xslF25X02/primary_doc.xml,40609298384.19266,yahoo_historical
HGTY,"Hagerty, Inc.",0001840776,NYSE,25-NSE,2024-07-22,0000876661-24-000593,xslF25X02/primary_doc.xml,1120707568.6077557,yahoo_historical
ABCB,Ameris Bancorp,0000351569,NYSE,25,2024-07-22,0000351569-24-000027,form25renasdaqdelisting7-2.htm,4027440998.5292664,yahoo_historical
AGM-PH,FEDERAL AGRICULTURAL MORTGAGE CORP,0000845877,NYSE,25-NSE,2024-07-18,0000876661-24-000582,xslF25X02/primary_doc.xml,,none
TAP-A,MOLSON COORS BEVERAGE CO,0000024545,NYSE,25-NSE,2024-07-15,0000876661-24-000577,xslF25X02/primary_doc.xml,152206033.7723999,yahoo_historical
CMRE-PC,Costamare Inc.,0001503584,NYSE,25-NSE,2024-07-15,0000876661-24-000573,xslF25X02/primary_doc.xml,2555452711.8930817,yahoo_historical
FIS,"Fidelity National Information Services, Inc.",0001136893,NYSE,25-NSE,2024-07-15,0000876661-24-000575,xslF25X02/primary_doc.xml,38207570007.404755,yahoo_historical
CFG-PI,CITIZENS FINANCIAL GROUP INC/RI,0000759944,NYSE,25-NSE,2024-07-09,0000876661-24-000569,xslF25X02/primary_doc.xml,,none
BNED,"Barnes & Noble Education, Inc.",0001634117,NYSE,25-NSE,2024-07-05,0000876661-24-000556,xslF25X02/primary_doc.xml,218625700.33810234,yahoo_historical
JCI,Johnson Controls International plc,0000833444,NYSE,25-NSE,2024-07-02,0000876661-24-000543,xslF25X02/primary_doc.xml,39883422326.832855,yahoo_historical
HASI,"HA Sustainable Infrastructure Capital, Inc.",0001561894,NYSE,25-NSE,2024-07-02,0000876661-24-000548,xslF25X02/primary_doc.xml,3279242379.191452,yahoo_historical
OXLCL,Oxford Lane Capital Corp.,0001495222,NASDAQ,25-NSE,2024-06-28,0001354457-24-000452,xslF25X02/primary_doc.xml,,none
XOM,EXXON MOBIL CORP,0000034088,NYSE,25-NSE,2024-06-26,0000876661-24-000522,xslF25X02/primary_doc.xml,457925107009.895,yahoo_historical
VZ,VERIZON COMMUNICATIONS INC,0000732712,NYSE,25-NSE,2024-06-18,0000876661-24-000495,xslF25X02/primary_doc.xml,150559623517.27228,yahoo_historical
AON,Aon plc,0000315293,NYSE,25-NSE,2024-06-14,0000876661-24-000487,xslF25X02/primary_doc.xml,62863094553.17963,yahoo_historical
VIASP,"Via Renewables, Inc.",0001606268,NASDAQ,25-NSE,2024-06-13,0001354457-24-000404,xslF25X02/primary_doc.xml,,none
COF-PN,CAPITAL ONE FINANCIAL CORP,0000927628,NYSE,25-NSE,2024-06-12,0000876661-24-000480,xslF25X02/primary_doc.xml,,none
USB-PQ,US BANCORP DE,0000036104,NYSE,25-NSE,2024-06-07,0000876661-24-000470,xslF25X02/primary_doc.xml,,none
CVNA,CARVANA CO.,0001690820,NYSE,25-NSE,2024-06-06,0000876661-24-000463,xslF25X02/primary_doc.xml,12240842275.863647,yahoo_historical
BWMX,"BETTERWARE DE MEXICO, S.A.P.I. DE C.V",0001788257,NYSE,25,2024-06-06,0001213900-24-050379,ea0207452-25_betterware.htm,552658880.4387703,yahoo_historical
ABBV,AbbVie Inc.,0001551152,NYSE,25-NSE,2024-06-03,0000876661-24-000445,xslF25X02/primary_doc.xml,266768609178.5952,yahoo_historical
CLVT,CLARIVATE PLC,0001764046,NYSE,25-NSE,2024-06-03,0000876661-24-000449,xslF25X02/primary_doc.xml,3829709024.2782545,yahoo_historical
UGI,UGI CORP /PA/,0000884614,NYSE,25-NSE,2024-06-03,0000876661-24-000451,xslF25X02/primary_doc.xml,4975394686.988533,yahoo_historical
RILYT,"BRC Group Holdings, Inc.",0001464790,NASDAQ,25-NSE,2024-05-30,0001354457-24-000364,xslF25X02/primary_doc.xml,,none
EMR,EMERSON ELECTRIC CO,0000032604,NYSE,25-NSE,2024-05-22,0000876661-24-000382,xslF25X02/primary_doc.xml,62827396126.39405,yahoo_historical
SKE,Skeena Resources Ltd,0001713748,NYSE,25-NSE,2024-05-21,0000876661-24-000377,xslF25X02/primary_doc.xml,598201081.8290162,yahoo_historical
MIR,"Mirion Technologies, Inc.",0001809987,NYSE,25-NSE,2024-05-20,0000876661-24-000370,xslF25X02/primary_doc.xml,2617204915.5819836,yahoo_historical
LH,LABCORP HOLDINGS INC.,0000920148,NYSE,25-NSE,2024-05-20,0000876661-24-000366,xslF25X02/primary_doc.xml,16793139624.023438,yahoo_historical
KFRC,KFORCE INC,0000930420,NYSE,25,2024-05-17,0000930420-24-000092,form25-05172024nasdaqwithd.htm,1092884456.9206238,yahoo_historical
BAX,BAXTER INTERNATIONAL INC,0000010456,NYSE,25-NSE,2024-05-15,0000876661-24-000355,xslF25X02/primary_doc.xml,17509594445.012283,yahoo_historical
ET-PI,Energy Transfer LP,0001276187,NYSE,25-NSE,2024-05-15,0000876661-24-000346,xslF25X02/primary_doc.xml,,none
ANG-PD,American National Group Inc.,0001039828,NYSE,25-NSE,2024-05-03,0001143362-24-000143,xslF25X02/primary_doc.xml,,none
PEP,PEPSICO INC,0000077476,NASDAQ,25-NSE,2024-05-03,0001354457-24-000323,xslF25X02/primary_doc.xml,226127941146.87717,yahoo_historical
FHN-PF,FIRST HORIZON CORP,0000036966,NYSE,25-NSE,2024-05-01,0000876661-24-000308,xslF25X02/primary_doc.xml,,none
RPT-PC,Rithm Property Trust Inc.,0001614806,NYSE,25-NSE,2024-04-30,0000876661-24-000304,xslF25X02/primary_doc.xml,,none
IBACR,IB Acquisition Corp.,0001998781,NASDAQ,25-NSE,2024-04-30,0001354457-24-000313,xslF25X02/primary_doc.xml,,none
AEON,"AEON Biopharma, Inc.",0001837607,AMEX,25-NSE,2024-04-29,0001143313-24-000051,xslF25X02/primary_doc.xml,6901695703.633484,yahoo_historical
TOPS,TOP SHIPS INC.,0001296484,AMEX,25,2024-04-23,0001171843-24-002150,f25_042324.htm,57272319.38942623,yahoo_historical
IPB,MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003-1,0001267332,NYSE,25,2024-04-18,0001999371-24-004915,indexplus_25-041624.htm,,none
GLP-PB,GLOBAL PARTNERS LP,0001323468,NYSE,25-NSE,2024-04-15,0000876661-24-000276,xslF25X02/primary_doc.xml,,none
ANGX,"Angel Studios, Inc.",0001865200,NYSE,25-NSE,2024-04-08,0000876661-24-000256,xslF25X02/primary_doc.xml,704886208.0,yahoo_current
CTOS,"Custom Truck One Source, Inc.",0001709682,NYSE,25-NSE,2024-04-02,0000876661-24-000249,xslF25X02/primary_doc.xml,1318576829.4115305,yahoo_historical
DHR,DANAHER CORP /DE/,0000313616,NYSE,25-NSE,2024-04-01,0000876661-24-000243,xslF25X02/primary_doc.xml,173375147122.7071,yahoo_historical
ZPTAW,"Zapata Quantum, Inc.",0001843714,NASDAQ,25,2024-03-28,0000950142-24-000824,eh240462233_25.htm,,none
GCTS-WT,"GCT Semiconductor Holding, Inc.",0001851961,NYSE,25-NSE,2024-03-27,0000876661-24-000235,xslF25X02/primary_doc.xml,,none
DJTWW,Trump Media & Technology Group Corp.,0001849635,NASDAQ,25-NSE,2024-03-25,0001354457-24-000202,xslF25X02/primary_doc.xml,2193829376.0,yahoo_current
SQLLW,ATLANTIC INTERNATIONAL CORP.,0001605888,NASDAQ,25-NSE,2024-03-21,0001354457-24-000185,xslF25X02/primary_doc.xml,,none
BRK-A,BERKSHIRE HATHAWAY INC,0001067983,NYSE,25-NSE,2024-03-15,0000876661-24-000179,xslF25X02/primary_doc.xml,323290263340.0,yahoo_historical
T-PC,AT&T INC.,0000732717,NYSE,25-NSE,2024-03-15,0000876661-24-000169,xslF25X02/primary_doc.xml,,none
NI,NISOURCE INC.,0001111711,NYSE,25-NSE,2024-03-15,0000876661-24-000171,xslF25X02/primary_doc.xml,11887795588.80724,yahoo_historical
WFC-PA,WELLS FARGO & COMPANY/MN,0000072971,NYSE,25-NSE,2024-03-15,0000876661-24-000175,xslF25X02/primary_doc.xml,,none
STT-PG,STATE STREET CORP,0000093751,NYSE,25-NSE,2024-03-15,0000876661-24-000183,xslF25X02/primary_doc.xml,8224348246.124268,yahoo_historical
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,25-NSE,2024-03-14,0000876661-24-000156,xslF25X02/primary_doc.xml,20065600291.750023,yahoo_historical
GROY-WT,Gold Royalty Corp.,0001834026,AMEX,25-NSE,2024-03-11,0001143313-24-000037,xslF25X02/primary_doc.xml,,none
HON,HONEYWELL INTERNATIONAL INC,0000773840,NASDAQ,25-NSE,2024-03-08,0001354457-24-000133,xslF25X02/primary_doc.xml,115734001451.00098,yahoo_historical
KO,COCA COLA CO,0000021344,NYSE,25-NSE,2024-03-08,0000876661-24-000139,xslF25X02/primary_doc.xml,241324007378.59503,yahoo_historical
SAIC,Science Applications International Corp,0001571123,NASDAQ,25,2024-03-04,0001193125-24-057840,d798926d25.htm,6289514888.82312,yahoo_historical
GMBLZ,"ESPORTS ENTERTAINMENT GROUP, INC.",0001451448,NASDAQ,25,2024-02-27,0001493152-24-007864,form25.htm,,none
MCOMW,micromobility.com Inc.,0001788841,NASDAQ,25-NSE,2024-02-15,0001354457-24-000087,xslF25X02/primary_doc.xml,,none
AES,AES CORP,0000874761,NYSE,25-NSE,2024-02-15,0000876661-24-000102,xslF25X02/primary_doc.xml,10924672247.24913,yahoo_historical
CUENW,Cuentas Inc.,0001424657,NASDAQ,25-NSE,2024-02-15,0001354457-24-000086,xslF25X02/primary_doc.xml,,none
FNB,FNB CORP/PA/,0000037808,NYSE,25-NSE,2024-02-15,0000876661-24-000100,xslF25X02/primary_doc.xml,4522532389.172316,yahoo_historical
CEROW,"CERO THERAPEUTICS HOLDINGS, INC.",0001870404,NASDAQ,25-NSE,2024-02-14,0001354457-24-000075,xslF25X02/primary_doc.xml,,none
LNG,"Cheniere Energy, Inc.",0000003570,NYSE,25,2024-02-12,0000003570-24-000021,cei2024form25.htm,33626761989.752686,yahoo_historical
CQP,"Cheniere Energy Partners, L.P.",0001383650,NYSE,25,2024-02-12,0001383650-24-000010,cqp2024form25.htm,22228125799.645824,yahoo_historical
IVZ,Invesco Ltd.,0000914208,NYSE,25-NSE,2024-01-30,0000876661-24-000075,xslF25X02/primary_doc.xml,6595361052.468395,yahoo_historical
VST,Vistra Corp.,0001692819,NYSE,25-NSE,2024-01-23,0000876661-24-000057,xslF25X02/primary_doc.xml,13294507218.337898,yahoo_historical
AAPL,Apple Inc.,0000320193,NASDAQ,25-NSE,2024-01-17,0001354457-24-000017,xslF25X02/primary_doc.xml,3816288419840.0,yahoo_current
VRTS,"VIRTUS INVESTMENT PARTNERS, INC.",0000883237,NYSE,25,2024-01-16,0001193125-24-008552,d873907d25.htm,1427992588.0028534,yahoo_historical
ECL,ECOLAB INC.,0000031462,NYSE,25-NSE,2024-01-16,0000876661-24-000044,xslF25X02/primary_doc.xml,55260479098.630615,yahoo_historical
CTEV,Claritev Corp,0001793229,NYSE,25-NSE,2024-01-10,0000876661-24-000023,xslF25X02/primary_doc.xml,832892482.8161316,yahoo_historical
RGS,REGIS CORP,0000716643,NASDAQ,25,2024-01-08,0001193125-24-004420,d797038d25.htm,24755319.004520416,yahoo_historical
FLYX-WT,FLYEXCLUSIVE INC.,0001843973,AMEX,25,2024-01-05,0001193125-24-003358,d114584d25.htm,,none
MRT,"Marti Technologies, Inc.",0001852767,AMEX,25-NSE,2024-01-04,0001143313-24-000009,xslF25X02/primary_doc.xml,51632761.02618277,yahoo_historical
ZCARW,"Zoomcar Holdings, Inc.",0001854275,NASDAQ,25-NSE,2023-12-29,0001354457-23-001014,xslF25X02/primary_doc.xml,,none
AMRX,"Amneal Pharmaceuticals, Inc.",0001723128,NASDAQ,25,2023-12-26,0001193125-23-303015,d618150d25.htm,1845310304.4240189,yahoo_historical
OXSQG,Oxford Square Capital Corp.,0001259429,NASDAQ,25-NSE,2023-12-21,0001354457-23-000967,xslF25X02/primary_doc.xml,,none
MYND,"Mynd.ai, Inc.",0001708441,AMEX,25,2023-12-18,0001104659-23-126889,tm2333064d1_25.htm,193989915.5,yahoo_historical
SSB,SouthState Bank Corp,0000764038,NYSE,25,2023-12-18,0001104659-23-126865,tm2333166d1_25.htm,8097479194.649963,yahoo_historical
ECDAW,"ECD Automotive Design, Inc.",0001922858,NASDAQ,25-NSE,2023-12-12,0001354457-23-000932,xslF25X02/primary_doc.xml,,none
SMBK,SMARTFINANCIAL INC.,0001038773,NYSE,25,2023-12-08,0001104659-23-124725,tm2330592-1_25.htm,382908685.4954109,yahoo_historical
MGA,MAGNA INTERNATIONAL INC,0000749098,NYSE,25-NSE,2023-11-24,0000876661-23-000890,xslF25X02/primary_doc.xml,14261753239.698845,yahoo_historical
LBTYK,Liberty Global Ltd.,0001570585,NASDAQ,25-NSE,2023-11-24,0001354457-23-000887,xslF25X02/primary_doc.xml,1331000535.6702042,yahoo_historical
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,0000746515,NYSE,25,2023-11-20,0001193125-23-280780,d350567d25.htm,15286338105.285912,yahoo_historical
UPS,UNITED PARCEL SERVICE INC,0001090727,NYSE,25-NSE,2023-11-15,0000876661-23-000848,xslF25X02/primary_doc.xml,97080183869.8818,yahoo_historical
OTIS,Otis Worldwide Corp,0001781335,NYSE,25-NSE,2023-11-13,0000876661-23-000832,xslF25X02/primary_doc.xml,30691829938.143875,yahoo_historical
USOI,CREDIT SUISSE AG,0001053092,NASDAQ,25-NSE,2023-11-08,0001143362-23-000495,xslF25X02/primary_doc.xml,,none
ACDC,ProFrac Holding Corp.,0001881487,NASDAQ,25-NSE,2023-11-07,0001354457-23-000816,xslF25X02/primary_doc.xml,1519317868.2031193,yahoo_historical
LIN,LINDE PLC,0001707925,NASDAQ,25,2023-11-06,0001654954-23-013831,lin_25.htm,178339663892.29614,yahoo_historical
BBBY-WT,"BED BATH & BEYOND, INC.",0001130713,NYSE,25,2023-11-03,0001140361-23-051408,ef20013837_25.htm,,none
TRAK,"ReposiTrak, Inc.",0000050471,NYSE,25,2023-11-01,0001437749-23-029770,pcyg20231016_25.htm,177412800.1746416,yahoo_historical
BQ,Boqii Holding Ltd,0001815021,AMEX,25,2023-10-12,0001013762-23-003306,ea185976-25_boqiihold.htm,132769171.29663086,yahoo_historical
RNST,RENASANT CORP,0000715072,NYSE,25,2023-10-06,0000715072-23-000231,form25october2023.htm,2334636541.6165237,yahoo_historical
CCL,CARNIVAL CORP,0000815097,NYSE,25-NSE,2023-10-02,0001143313-23-000076,xslF25X02/primary_doc.xml,15925260309.203407,yahoo_historical
PRHIZ,"Presurance Holdings, Inc.",0001502292,NASDAQ,25-NSE,2023-09-29,0001354457-23-000715,xslF25X02/primary_doc.xml,,none
NRDY,Nerdy Inc.,0001819404,NYSE,25-NSE,2023-09-28,0000876661-23-000803,xslF25X02/primary_doc.xml,430285205.0,yahoo_historical
TRTN-PF,Triton International Ltd,0001660734,NYSE,25-NSE,2023-09-28,0000876661-23-000801,xslF25X02/primary_doc.xml,,none
CE,Celanese Corp,0001306830,NYSE,25-NSE,2023-09-26,0000876661-23-000768,xslF25X02/primary_doc.xml,12787610445.165527,yahoo_historical
DASH,"DoorDash, Inc.",0001792789,NASDAQ,25,2023-09-26,0001628280-23-033028,dash-form2509272023.htm,30304436479.880905,yahoo_historical
AGO,ASSURED GUARANTY LTD,0001273813,NYSE,25-NSE,2023-09-25,0000876661-23-000762,xslF25X02/primary_doc.xml,2756133758.93507,yahoo_historical
COO,"COOPER COMPANIES, INC.",0000711404,NASDAQ,25,2023-09-25,0000711404-23-000049,coo-form25transferfromnyse.htm,16234330027.813736,yahoo_historical
CRH,CRH PUBLIC LTD CO,0000849395,NYSE,25-NSE,2023-09-25,0000876661-23-000754,xslF25X02/primary_doc.xml,36029257423.38298,yahoo_historical
VFC,V F CORP,0000103379,NYSE,25-NSE,2023-09-20,0000876661-23-000742,xslF25X02/primary_doc.xml,6647597244.197479,yahoo_historical
KKR-PD,KKR & Co. Inc.,0001404912,NYSE,25-NSE,2023-09-15,0000876661-23-000724,xslF25X02/primary_doc.xml,,none
PLYM,"Plymouth Industrial REIT, Inc.",0001515816,NYSE,25-NSE,2023-09-06,0001143313-23-000060,xslF25X02/primary_doc.xml,903946812.2556839,yahoo_historical
NEE-PN,NEXTERA ENERGY INC,0000753308,NYSE,25-NSE,2023-09-01,0000876661-23-000692,xslF25X02/primary_doc.xml,,none
ROIV,Roivant Sciences Ltd.,0001635088,NASDAQ,25-NSE,2023-09-01,0001354457-23-000619,xslF25X02/primary_doc.xml,8123342275.447197,yahoo_historical
SABR,Sabre Corp,0001597033,NASDAQ,25-NSE,2023-09-01,0001354457-23-000615,xslF25X02/primary_doc.xml,2120531781.8890114,yahoo_historical
AMTB,Amerant Bancorp Inc.,0001734342,NYSE,25,2023-08-28,0001734342-23-000062,amerantform25delistingfrom.htm,749568950.3109169,yahoo_historical
BEEP,Mobile Infrastructure Corp,0001847874,NASDAQ,25,2023-08-25,0001193125-23-220998,d527480d25.htm,120132000.0,yahoo_current
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",0001411579,NYSE,25-NSE,2023-08-25,0000876661-23-000680,xslF25X02/primary_doc.xml,6375888619.767952,yahoo_historical
